Location,Sex,year,age,px
Colombia,Male,1955,100,0
Colombia,Male,1956,0,0.88326225
Colombia,Male,1956,1,0.97581341
Colombia,Male,1956,2,0.98344148
Colombia,Male,1956,3,0.98844539
Colombia,Male,1956,4,0.99176026
Colombia,Male,1956,5,0.99404232
Colombia,Male,1956,6,0.99555349
Colombia,Male,1956,7,0.99647202
Colombia,Male,1956,8,0.99698102
Colombia,Male,1956,9,0.9972556
Colombia,Male,1956,10,0.99746428
Colombia,Male,1956,11,0.9975443
Colombia,Male,1956,12,0.99751418
Colombia,Male,1956,13,0.99735513
Colombia,Male,1956,14,0.99706009
Colombia,Male,1956,15,0.99665536
Colombia,Male,1956,16,0.9961713
Colombia,Male,1956,17,0.99564523
Colombia,Male,1956,18,0.99506141
Colombia,Male,1956,19,0.99443633
Colombia,Male,1956,20,0.99386074
Colombia,Male,1956,21,0.99342525
Colombia,Male,1956,22,0.9932033
Colombia,Male,1956,23,0.99316234
Colombia,Male,1956,24,0.99320538
Colombia,Male,1956,25,0.99329664
Colombia,Male,1956,26,0.99339504
Colombia,Male,1956,27,0.99346351
Colombia,Male,1956,28,0.99351214
Colombia,Male,1956,29,0.99354195
Colombia,Male,1956,30,0.99353253
Colombia,Male,1956,31,0.99346868
Colombia,Male,1956,32,0.9933356
Colombia,Male,1956,33,0.9931542
Colombia,Male,1956,34,0.99295559
Colombia,Male,1956,35,0.99273996
Colombia,Male,1956,36,0.99250319
Colombia,Male,1956,37,0.99223887
Colombia,Male,1956,38,0.99194882
Colombia,Male,1956,39,0.9916324
Colombia,Male,1956,40,0.99128523
Colombia,Male,1956,41,0.99090544
Colombia,Male,1956,42,0.99048943
Colombia,Male,1956,43,0.990035
Colombia,Male,1956,44,0.98953968
Colombia,Male,1956,45,0.98899594
Colombia,Male,1956,46,0.98839358
Colombia,Male,1956,47,0.98772022
Colombia,Male,1956,48,0.98696819
Colombia,Male,1956,49,0.98613325
Colombia,Male,1956,50,0.98522192
Colombia,Male,1956,51,0.98425063
Colombia,Male,1956,52,0.98323075
Colombia,Male,1956,53,0.9821606
Colombia,Male,1956,54,0.98102398
Colombia,Male,1956,55,0.97979218
Colombia,Male,1956,56,0.97842574
Colombia,Male,1956,57,0.976874
Colombia,Male,1956,58,0.97509816
Colombia,Male,1956,59,0.97307353
Colombia,Male,1956,60,0.97080364
Colombia,Male,1956,61,0.96832956
Colombia,Male,1956,62,0.96569148
Colombia,Male,1956,63,0.9629186
Colombia,Male,1956,64,0.96000817
Colombia,Male,1956,65,0.95690344
Colombia,Male,1956,66,0.95351963
Colombia,Male,1956,67,0.94974044
Colombia,Male,1956,68,0.94544091
Colombia,Male,1956,69,0.94055883
Colombia,Male,1956,70,0.9351095
Colombia,Male,1956,71,0.92917924
Colombia,Male,1956,72,0.92286766
Colombia,Male,1956,73,0.91627618
Colombia,Male,1956,74,0.90941951
Colombia,Male,1956,75,0.90220891
Colombia,Male,1956,76,0.89452499
Colombia,Male,1956,77,0.88620649
Colombia,Male,1956,78,0.87708294
Colombia,Male,1956,79,0.86705822
Colombia,Male,1956,80,0.85608357
Colombia,Male,1956,81,0.8441524
Colombia,Male,1956,82,0.83130454
Colombia,Male,1956,83,0.81754903
Colombia,Male,1956,84,0.80298429
Colombia,Male,1956,85,0.78794544
Colombia,Male,1956,86,0.7727674
Colombia,Male,1956,87,0.75767051
Colombia,Male,1956,88,0.74259826
Colombia,Male,1956,89,0.72723588
Colombia,Male,1956,90,0.71132915
Colombia,Male,1956,91,0.69455525
Colombia,Male,1956,92,0.67669014
Colombia,Male,1956,93,0.6578298
Colombia,Male,1956,94,0.63823961
Colombia,Male,1956,95,0.62253675
Colombia,Male,1956,96,0.60531288
Colombia,Male,1956,97,0.58829461
Colombia,Male,1956,98,0.57154206
Colombia,Male,1956,99,0.55510664
Colombia,Male,1956,100,0
Colombia,Male,1957,0,0.88761621
Colombia,Male,1957,1,0.97800039
Colombia,Male,1957,2,0.98485907
Colombia,Male,1957,3,0.98944583
Colombia,Male,1957,4,0.9924995
Colombia,Male,1957,5,0.99460025
Colombia,Male,1957,6,0.99598992
Colombia,Male,1957,7,0.99683186
Colombia,Male,1957,8,0.99729135
Colombia,Male,1957,9,0.99753048
Colombia,Male,1957,10,0.99770972
Colombia,Male,1957,11,0.99777205
Colombia,Male,1957,12,0.99773667
Colombia,Male,1957,13,0.99760176
Colombia,Male,1957,14,0.99736828
Colombia,Male,1957,15,0.99705025
Colombia,Male,1957,16,0.99666592
Colombia,Male,1957,17,0.99624054
Colombia,Male,1957,18,0.9957818
Colombia,Male,1957,19,0.9953155
Colombia,Male,1957,20,0.99489821
Colombia,Male,1957,21,0.99458584
Colombia,Male,1957,22,0.99441767
Colombia,Male,1957,23,0.99438163
Colombia,Male,1957,24,0.9944247
Colombia,Male,1957,25,0.99451266
